model,trainval_R2,trainval_MSE,trainval_MAE,test_R2,test_MSE,test_MAE,best_R2_tuning
Linear Baseline,-3.2410693168640137,2.0279252529144287,0.5100105404853821,-287387.4069543818,134307.84103455956,17.708945097254045,
Ridge,0.6760694980621338,0.15489178895950317,0.28145813941955566,0.6922614851447318,0.14381824225760623,0.2729057157313911,0.6505010285857245
Gradient Boosting,0.82956437165225,0.0814961252348678,0.20715970389095545,0.7441458294245962,0.11957065921286458,0.24293569425508196,0.7107003313008331
KMeans+Ridge,0.7006699362675017,0.1431287612630595,0.2708432591664015,0.6994844672625917,0.14044266025566773,0.2683443344686722,0.6663560972514418
SVR,0.7591012716293335,0.11518903076648712,0.22691786289215088,0.7233505651746353,0.12928909940589142,0.25133686822710755,0.691272920287682
Neural Network,0.7528504133224487,0.11817796528339386,0.2492915689945221,0.6828999295831899,0.148193263259742,0.270879732908345,
